author,category,Year of publishing,grade,institution,isbn,lang,link,pages,pages_displayed,price,char_len_ref,subject,tags,text_len,title
Miriam Oberle (Autor:in),Hausarbeit,2005,"1,0",Universität Mannheim,9783640085248,de,https://www.hausarbeiten.de/document/110349,21,21 von 21 Seiten X- nach oben,Kostenlos,1785,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Entdeckung Siziliens Beispiel Deutsche Reiseliteratur ,40280,Die literarische (Wieder-) Entdeckung Siziliens am Beispiel der
Christof Spannhoff (Autor:in),Hausarbeit (Hauptseminar),2006,sehr gut,Westfälische Wilhelms-Universität Münster,9783640084111,de,https://www.hausarbeiten.de/document/110236,19,19 von 19 Seiten X- nach oben,Kostenlos,2971,"Germanistik - Literaturgeschichte, Epochen", Edel Mensch Klassische Goethes Göttliche Hauptseminar Klassik ,33107,"""Edel sei der Mensch"". Das ""Klassische"" in Goethes ""Das Göttliche""."
Karsten Tischer (Autor:in),Hausarbeit,2006,"2,0",Friedrich-Schiller-Universität Jena,9783640084043,de,https://www.hausarbeiten.de/document/110229,19,19 von 19 Seiten X- nach oben,Kostenlos,2014,Germanistik - Neuere Deutsche Literatur, Setting Schauplatzanalyse Gottfried Keller Pankraz der Schmoller Realismus Die Leute von Seldwyla Novelle Schauplätze Indien USA Paris Afrika Aufbruch ,28444,"Die Symbolik der Schauplätze in Gottfried Kellers 'Pankraz, der Schmoller'"
Thomas Griebel (Autor:in),Hausarbeit,2006,"1,3",Technische Universität Dresden,9783640083909,de,https://www.hausarbeiten.de/document/110214,27,27 von 27 Seiten X- nach oben,Kostenlos,3516,Germanistik - Linguistik, Grammatische Inkorporation Anglizismen Sprache Seminar Grammatik Gegenwartssprache ,39388,Grammatische Inkorporation substantivischer Anglizismen in der deutschen Sprache
Dubravka von Puttkamer (Autor:in),Referat (Ausarbeitung),2006,2,Johann Wolfgang Goethe-Universität Frankfurt am Main,9783640083725,de,https://www.hausarbeiten.de/document/110196,21,20 von 21 Seiten X- nach oben,Kostenlos,181,Germanistik - Linguistik, Intergenerational Nicaraguan Sign Language Neuhochdeutsch Entstehung Entwicklung ,36945,Intergenerational influence and ontogenetic development in the emergence of spatial grammar in Nicaraguan Sign Language
Anne Camilla Kutzner (Autor:in),Hausarbeit (Hauptseminar),2006,sehr gut,Freie Universität Berlin,9783640083503,de,https://www.hausarbeiten.de/document/110174,33,33 von 33 Seiten X- nach oben,Kostenlos,1571,Germanistik - Neuere Deutsche Literatur, Motivgeschichte Amazone Berücksichtigung Schillers Jungfrau Orleans Amazone Heilige Wandlungen Johanna Orleans ,67820,"Zur Motivgeschichte der Amazone unter besonderer Berücksichtigung von Schillers ""Jungfrau von Orleans"""
Jasmine Weimann (Autor:in),Hausarbeit,2004,1,Justus-Liebig-Universität Gießen,9783640083411,de,https://www.hausarbeiten.de/document/110165,10,10 von 10 Seiten X- nach oben,Kostenlos,450,Germanistik - Linguistik, Wort Einführung Studiengebiet Sprache ,9183,Worte und Morpheme. Die Ebenen des Wortbegriffes
Déléris Fanny (Autor:in),Hausarbeit,2006,1,Martin-Luther-Universität Halle-Wittenberg,9783640083251,de,https://www.hausarbeiten.de/document/110149,14,13 von 14 Seiten X- nach oben,Kostenlos,894,Germanistik - Neuere Deutsche Literatur, Schlink Bernhard Vorleser Literaturkritik Gegenwartsliteratur ,21961,"Schlink, Bernhard - Der Vorleser in der deutschen Literaturkritik"
Nadine Ebert (Autor:in),Hausarbeit (Hauptseminar),2006,"2,0",Ludwig-Maximilians-Universität München,9783638499651,de,https://www.hausarbeiten.de/document/54856,23,23 von 23 Seiten X- nach oben,Kostenlos,2408,Germanistik - Neuere Deutsche Literatur, Entfremdung Erkenntnis Selbstbestimmung Matrix-Trilogie Mensch Maschine Hegel Dialektik ,38223,"Entfremdung, Erkenntnis und Selbstbestimmung in der Matrix-Trilogie"
Kordula Marisa Hildebrandt (Autor:in),Hausarbeit,2004,"1,7",Johannes Gutenberg-Universität Mainz,9783640082681,de,https://www.hausarbeiten.de/document/110091,20,20 von 20 Seiten X- nach oben,Kostenlos,2314,Germanistik - Neuere Deutsche Literatur, Erzählmodell Spaziergangs Robert Walser Spaziergang Oberseminar Robert Walser SS-04 ,43318,"Das Erzählmodell des Spaziergangs in Robert Walser ""Der Spaziergang"""
Kordula Marisa Hildebrandt (Autor:in),Hausarbeit,2004,"2,7",Johannes Gutenberg-Universität Mainz,9783640082698,de,https://www.hausarbeiten.de/document/110092,19,19 von 19 Seiten X- nach oben,Kostenlos,673,Germanistik - Neuere Deutsche Literatur, Ringe Saturn Sebald Räume Poetik Raumes ,37628, Die Ringe des Saturn von W.G. Sebald und die 'speziellen Räume'
Kordula Marisa Hildebrandt (Autor:in),Hausarbeit,2004,"2,1",Johannes Gutenberg-Universität Mainz,9783640082704,de,https://www.hausarbeiten.de/document/110093,33,33 von 33 Seiten X- nach oben,Kostenlos,4973,Germanistik - Neuere Deutsche Literatur, Untersuchungen Siebte Kreuz Anna Seghers Christa Wolfs Roman Kassandra Vergleich Georg Lukács´ Theorien Realismus Verlagsgeschichte ,88176,"Untersuchungen über 'Das Siebte Kreuz' von Anna Seghers und über Christa Wolfs Roman 'Kassandra', im Vergleich mit Georg Lukács´ Theorien vom 'sozialistischen Realismus' "
Frédéric Valin (Autor:in),Hausarbeit,2006,none,Humboldt-Universität zu Berlin,9783640082445,de,https://www.hausarbeiten.de/document/110067,11,11 von 11 Seiten X- nach oben,Kostenlos,931,Germanistik - Neuere Deutsche Literatur, Textanalyse Judith Hermanns Sommerhaus Seminar Gegenwartsliteratur ,17340,"L'amour jamais: Textanalyse zu Judith Hermanns ""Sommerhaus, später"""
Beate Leiter (Autor:in),Seminararbeit,2003,"1,3",Friedrich-Schiller-Universität Jena,9783640081660,de,https://www.hausarbeiten.de/document/109988,21,21 von 21 Seiten X- nach oben,Kostenlos,1637,Germanistik - Neuere Deutsche Literatur, Gründe Zustandekommen Extremsituation Novelle Marquise Heinrich Kleist Ausgang Novelle Zusammenhang Proseminar ,43713,"""Die Marquise von O..."" Wie aus der ausweglosen Extremsituation ein glückliches Ende wirdEine Analyse über Ausgangs- und Wendepunkt der Novelle"
sandra severin (Autor:in),Seminararbeit,2005,"1,3",Martin-Luther-Universität Halle-Wittenberg,9783640080434,de,https://www.hausarbeiten.de/document/109865,10,10 von 10 Seiten X- nach oben,Kostenlos,778,Germanistik - Neuere Deutsche Literatur, Selbstmordproblematik Leiden Werther Proseminar Johann Wolfgang Goethe Leiden Werther- ,15736,Die Selbstmordproblematik in 'Die Leiden des jungen Werther'
Julia Kloiber (Autor:in),Hausarbeit,2003,none,Universität Duisburg-Essen,9783640079582,de,https://www.hausarbeiten.de/document/109780,3,2 von 3 Seiten X- nach oben,Kostenlos,131,Germanistik - Linguistik, Kommunikationsmodelle ,2538,Kommunikationsmodelle
Julia Kloiber (Autor:in),Hausarbeit,2003,none,Universität Duisburg-Essen,9783640079599,de,https://www.hausarbeiten.de/document/109781,6,6 von 6 Seiten X- nach oben,Kostenlos,270,Germanistik - Linguistik, Unterschied Muttersprache Fremdsprache Zweitsprache Verhältnis ,4960,"Was ist der Unterschied zwischen Muttersprache, Fremdsprache und Zweitsprache und in welchem Verhältnis stehen sie zueinander?"
Jean-Claude Eichenseher (Autor:in),Hausarbeit,2004,none,Universität Trier,9783640079506,de,https://www.hausarbeiten.de/document/109772,18,2 von 18 Seiten X- nach oben,Kostenlos,2016,Germanistik - Linguistik, Normativ Johann Christoph Adelung Grammatisch-Kritische Wörterbuch ,29813,"Normativ oder deskriptiv? - Johann Christoph Adelung und das ""Grammatisch-Kritische Wörterbuch"""
Isolde Wallbaum (Autor:in),Hausarbeit (Hauptseminar),2003,"2,0",Universität Karlsruhe (TH),9783640079476,de,https://www.hausarbeiten.de/document/109769,24,24 von 24 Seiten X- nach oben,Kostenlos,2052,Germanistik - Neuere Deutsche Literatur, Siebente Ring Zeitgedichte ,42308,"Der Siebente Ring, Zeitgedichte"
Isolde Wallbaum (Autor:in),Hausarbeit (Hauptseminar),2004,"1,7",Universität Karlsruhe (TH),9783640079483,de,https://www.hausarbeiten.de/document/109770,20,20 von 20 Seiten X- nach oben,Kostenlos,1773,Germanistik - Neuere Deutsche Literatur, Ludwig Uhland ,41469,Ludwig Uhland
Nina Schmidt (Autor:in),Seminararbeit,2005,1,none,9783640079209,de,https://www.hausarbeiten.de/document/109742,18,18 von 18 Seiten X- nach oben,Kostenlos,1128,Germanistik - Neuere Deutsche Literatur, Nikolas Lenau Schilflieder Proseminar ,27900,Nikolas Lenau - Die Schilflieder
Frank Schmitz (Autor:in),Hausarbeit,2005,"1,3",Universität Konstanz,9783640079025,de,https://www.hausarbeiten.de/document/109724,14,14 von 14 Seiten X- nach oben,Kostenlos,1523,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Alexander Wandelbare Funktionalität Herrschers Mittelalter Alexanderlied Pfaffen Lamprecht Alexander) ,25150,Alexander der Wandelbare - Funktionalität eines antiken Herrschers im Mittelalter
Maik Hemmecke (Autor:in),Hausarbeit (Hauptseminar),2005,"1,7",Georg-August-Universität Göttingen,9783640078967,de,https://www.hausarbeiten.de/document/109718,32,5 von 32 Seiten X- nach oben,Kostenlos,3313,Germanistik - Linguistik, Geschichte Bedeutung Sprichwortes ,47734,Geschichte und Bedeutung des deutschen Sprichwortes
Guido Scholl (Autor:in),Hausarbeit (Hauptseminar),2001,none,Gottfried Wilhelm Leibniz Universität Hannover,9783640078080,de,https://www.hausarbeiten.de/document/109629,11,11 von 11 Seiten X- nach oben,Kostenlos,72,Germanistik - Neuere Deutsche Literatur, Celan-Goll-Affäre Texte Entwürfe Notizen Plagiatvorwürfen Celan-Goll Affäre ,18527,"Die Celan-Goll-Affäre: Texte, Entwürfe und Notizen zu den Plagiatvorwürfen"
Guido Scholl (Autor:in),Referat (Ausarbeitung),2002,none,Gottfried Wilhelm Leibniz Universität Hannover,9783640078103,de,https://www.hausarbeiten.de/document/109631,8,8 von 8 Seiten X- nach oben,Kostenlos,160,Germanistik - Neuere Deutsche Literatur, Theodor Adornos Minima Moralia Aphorismen ,14795,Theodor W. Adornos Minima Moralia:  Aphorismen 17 bis 32
Dorothea Goeth (Autor:in),Seminararbeit,2005,"2,0",Johann Wolfgang Goethe-Universität Frankfurt am Main,9783640078028,de,https://www.hausarbeiten.de/document/109623,15,14 von 15 Seiten X- nach oben,Kostenlos,785,Germanistik - Neuere Deutsche Literatur, Goethe Talismane Einführung Textanalytische Übung Neuere deutsche Literaturwissenschaft Gedicht Gedichtanalyse Textanalyse ,28931,Textanalytische Übung zu Goethe: Talismane
Guido Scholl (Autor:in),Referat (Ausarbeitung),2001,none,Gottfried Wilhelm Leibniz Universität Hannover,9783640077991,de,https://www.hausarbeiten.de/document/109620,6,6 von 6 Seiten X- nach oben,Kostenlos,131,Germanistik - Neuere Deutsche Literatur, Büchners Naturbegriff ,9805,Büchners Naturbegriff
Nadine Ebert (Autor:in),Hausarbeit (Hauptseminar),2005,1,Ludwig-Maximilians-Universität München,9783638426824,de,https://www.hausarbeiten.de/document/45249,19,19 von 19 Seiten X- nach oben,Kostenlos,1584,Germanistik - Neuere Deutsche Literatur, Mensch Holozän Frisch Humanismus ,25059,"Die Haltung des alternden Menschen in ""Der Mensch erscheint im Holozän"""
anonymous,Hausarbeit,2004,"1,3",Humboldt-Universität zu Berlin,9783640077601,de,https://www.hausarbeiten.de/document/109580,16,16 von 16 Seiten X- nach oben,Kostenlos,583,Germanistik - Neuere Deutsche Literatur, Heinrich Manns Novelle Kobes Porträt Hugo Stinnes ,26133,Heinrich Manns Novelle 'Kobes' als kritisches Porträt von Hugo Stinnes
Frank Schmitz (Autor:in),Hausarbeit,2005,"1,0",Universität Konstanz,9783640077373,de,https://www.hausarbeiten.de/document/109557,15,15 von 15 Seiten X- nach oben,Kostenlos,849,Germanistik - Neuere Deutsche Literatur, Gespenstern Spur Judith Hermann Perspektive Gegenwartsliteratur ,25680,Den Gespenstern auf der Spur. Judith Hermann aus rezeptionsästhetischer Perspektive
Güde Godbersen (Autor:in),Hausarbeit (Hauptseminar),2002,"2,7",Humboldt-Universität zu Berlin,9783640077090,de,https://www.hausarbeiten.de/document/109529,25,25 von 25 Seiten X- nach oben,Kostenlos,1547,"Germanistik - Literaturgeschichte, Epochen", Entwicklung Lesbarkeitsmetaphorik Neuzeit Wissenschaften Literatur Jahrhundert ,46005,Die Entwicklung der Lesbarkeitsmetaphorik  in der frühen Neuzeit
Güde Godbersen (Autor:in),Hausarbeit (Hauptseminar),2001,"1,3",Humboldt-Universität zu Berlin,9783640077106,de,https://www.hausarbeiten.de/document/109530,30,30 von 30 Seiten X- nach oben,Kostenlos,1585,Germanistik - Neuere Deutsche Literatur, Traum Agathon Interpretation Traums Christoph Martin Wielands Geschichte Hintergrund Philosophie Traumvorstellungen Traumtheorien Jahrhunderts Wieland Goethe ,54898,"Interpretation des Traumes in Christoph Martin Wielands ""Geschichte des Agathon"""
Güde Godbersen (Autor:in),Hausarbeit (Hauptseminar),2001,"2,0",Humboldt-Universität zu Berlin,9783640077113,de,https://www.hausarbeiten.de/document/109531,19,19 von 19 Seiten X- nach oben,Kostenlos,308,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Inhalt Form Motivik Ecbasis Flucht Gefangenen Mittelalterliche Tierdichtung ,37168,"Inhalt, Form und Motivik der 'Ecbasis cuiusdam captivi per tropologiam' -  'Die Flucht eines Gefangenen (tropologisch)'"
Güde Godbersen (Autor:in),Hausarbeit (Hauptseminar),2002,"2,0",Humboldt-Universität zu Berlin,9783640077120,de,https://www.hausarbeiten.de/document/109532,26,26 von 26 Seiten X- nach oben,Kostenlos,944,Germanistik - Neuere Deutsche Literatur, Gerichtsreporterin Gabriele Tergit Kurzbiographie Stilanalyse Gerichtsreportagen Beispieltexte Heirat Tragödie Jungfer Nach Urteil Zwischen Journalismus Literatur Reportage Feuilleton ,44943,"Die Gerichtsreporterin Gabriele Tergit. Kurzbiographie und Stilanalyse ihrer Gerichtsreportagen""Wer schwindelt Heirat?"",  ""Die Tragödie der alten Jungfer"" und ""Nach dem Urteil"""
Güde Godbersen (Autor:in),Hausarbeit (Hauptseminar),2004,"1,7",Humboldt-Universität zu Berlin,9783640077137,de,https://www.hausarbeiten.de/document/109533,27,4 von 27 Seiten X- nach oben,Kostenlos,1804,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Amadis Leser Lesarten Amadis Gallien ,54521,"Amadis: Autor, Leser und Lesarten"
Anne Camilla Kutzner (Autor:in),Seminararbeit,2001,none,Freie Universität Berlin,9783640076680,de,https://www.hausarbeiten.de/document/109487,15,14 von 15 Seiten X- nach oben,Kostenlos,753,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Frauen Konfliktbearbeitung Handeln Kudrunepos Grundkurs Fest Dichtung ,25809,"Frauen, Konfliktbearbeitung und festliches Handeln im Kudrunepos"
Eva-Christina Glaser (Autor:in),Seminararbeit,1999,1,Justus-Liebig-Universität Gießen,9783640076710,de,https://www.hausarbeiten.de/document/109490,18,18 von 18 Seiten X- nach oben,Kostenlos,1728,Germanistik - Linguistik, Zeichen Position Peirce Zeichentypologie Bestimmung Wertes System Grundlagen Sprachwissenschaft ,45385,Das sprachliche Zeichen - Position in der Peirce'schen Zeichentypologie und Bestimmung des Wertes im System
Tobias Dondelinger (Autor:in),Seminararbeit,2005,2.3,Universität Trier,9783640076086,de,https://www.hausarbeiten.de/document/109427,19,19 von 19 Seiten X- nach oben,Kostenlos,523,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Vergleich Exempels Fliegen Geschwür Jacobus` Cessoli Schachzabelbuch Konrads Ammenhausen Schachzabelbuch Gesta Romanorum Johannes Paulis Schimpf Ernst Proseminar Schachzabelbuch Jacobus Cessoli ,26912,"Das Exempel ""Fliegen auf dem Geschwür"" im  ""Schachzabelbuch"" von de Cessoli, ""Schachzabelbuch"" Konrads von Ammenhausen, den ""Gesta Romanorum"" und Paulis ""Schimpf und Ernst"""
Christof Spannhoff (Autor:in),Hausarbeit,2004,gut,Westfälische Wilhelms-Universität Münster,9783640075904,de,https://www.hausarbeiten.de/document/109409,24,24 von 24 Seiten X- nach oben,Kostenlos,3659,Germanistik - Neuere Deutsche Literatur, Zeitroman Sozialkritik Literatur Zwanziger Jahre ,49654,Zeitroman oder historisierte dokumentierende Sozialkritik ?
Robert Zech (Autor:in),Hausarbeit,2002,2,Technische Universität Dresden,9783640075584,de,https://www.hausarbeiten.de/document/109377,21,21 von 21 Seiten X- nach oben,Kostenlos,1471,Germanistik - Neuere Deutsche Literatur, Gesellschaftskritik Hölderlins Hyperion ,42236,"Gesellschaftskritik in Hölderlins ""Hyperion"""
Karsten Dyba (Autor:in),Hausarbeit,1998,2,Eberhard-Karls-Universität Tübingen,9783640073955,de,https://www.hausarbeiten.de/document/109214,10,10 von 10 Seiten X- nach oben,Kostenlos,317,Germanistik - Neuere Deutsche Literatur, Tragödienstruktur Gotthold Ephraim Lessings Trauerspiel Emilia Galotti Einführung ,12226,Die aristotelische Tragödienstruktur in Gotthold Ephraim Lessings Trauerspiel Emilia Galotti
Karsten Dyba (Autor:in),Hausarbeit,1999,1,Eberhard-Karls-Universität Tübingen,9783640073979,de,https://www.hausarbeiten.de/document/109216,24,24 von 24 Seiten X- nach oben,Kostenlos,813,Germanistik - Linguistik, Sprachgebrauch Presse Beispielen Lokalredaktion Linguistik ,42089,Der Sprachgebrauch der Presse anhand von Beispielen aus der Lokalredaktion
Nicole Scharf (Autor:in),Hausarbeit (Hauptseminar),2005,2,Universität des Saarlandes,9783640073603,de,https://www.hausarbeiten.de/document/109178,25,25 von 25 Seiten X- nach oben,Kostenlos,1591,Germanistik - Linguistik, PASST FAUST AUFS AUGE Ikonische Phraseologismen Bilder Print-Anzeigen Hauptseminar Sprachwissenschaft Sprache-Bild-Texte ,41815,PASST WIE DIE FAUST AUFS AUGE! Ikonische Phraseologismen und Bilder in Print-Anzeigen
Nicole Scharf (Autor:in),Hausarbeit (Hauptseminar),2005,1 -,Universität des Saarlandes,9783640073399,de,https://www.hausarbeiten.de/document/109156,26,26 von 26 Seiten X- nach oben,Kostenlos,847,Germanistik - Neuere Deutsche Literatur, Kleine Veränderungen Wirkung Thomas Manns Erzählung Köpfe Vergleich Heinrich Zimmers Weltmutter ,48904,"Kleine Veränderungen, große Wirkung! Thomas Manns Erzählung ""Die vertauschten Köpfe"" im Vergleich zu Heinrich Zimmers ""Die indische Weltmutter"""
Alexandra Lisson (Autor:in),Hausarbeit (Hauptseminar),2001,sehr gut,Universität zu Köln,9783638310239,de,https://www.hausarbeiten.de/document/29540,18,18 von 18 Seiten X- nach oben,Kostenlos,1437,Germanistik - Neuere Deutsche Literatur, Physikalische Eigenschaften Schattens Ansatzspunkt Deutung Peter Schlemihls Geschichte Licht Schatten Konstruktion Bedeutung Texten Jahrhundert ,37376,"Physikalische und wahrnehmbare Eigenschaften des Schattens als Ansatzspunkt zur Deutung ""Peter Schlemihls wundersamer Geschichte"""
Alexandra Lisson (Autor:in),Hausarbeit (Hauptseminar),2002,sehr gut,Universität zu Köln,9783638310246,de,https://www.hausarbeiten.de/document/29541,28,28 von 28 Seiten X- nach oben,Kostenlos,504,Germanistik - Neuere Deutsche Literatur, Zerrbild Wunschbild Schule Erziehung Frank Wedekinds Frühlings Erwachen ,63083,"Zerrbild und Wunschbild von Schule und Erziehung in Frank Wedekinds ""Frühlings Erwachen"""
